Source,Target,Type,Label
char_matthew_patel,FictionalCharacter,Directed,type
item_bass_guitar,char_scott_pilgrim,Directed,ownedBy
item_song_summertime,group_sex_bob_omb,Directed,performer
char_kim_pine,Q133862338,Directed,sameAs
item_song_black_sheep,group_clash_at_demonhead,Directed,performer
item_song_summertime,item_soundtrack,Directed,isPartOf
person_brie_larson,Person,Directed,type
char_knives_chau,char_kim_pine,Directed,friendOf
char_stephen_stills,universe_scott_pilgrim,Directed,isPartOf
person_shota_saito,Person,Directed,type
char_todd_ingram,Todd_Ingram,Directed,page
person_ellen_wong,Person,Directed,type
person_michael_cera,Q309555,Directed,sameAs
char_todd_ingram,FictionalCharacter,Directed,type
char_stephen_stills,person_mark_webber,Directed,portrayedBy
item_song_summertime,MusicRecording,Directed,type
media_game,VideoGame,Directed,type
char_roxanne_richter,universe_scott_pilgrim,Directed,isPartOf
char_stephen_stills,char_kim_pine,Directed,friendOf
person_brie_larson,Q29328,Directed,sameAs
char_envy_adams,person_brie_larson,Directed,portrayedBy
char_scott_pilgrim,char_ramona_flowers,Directed,lifePartnerOf
person_satya_bhabha,Person,Directed,type
char_todd_ingram,group_league_of_evil_exes,Directed,memberOf
media_movie,Q753899,Directed,identifier
char_knives_chau,person_ellen_wong,Directed,portrayedBy
char_knives_chau,Knives_Chau,Directed,page
char_kim_pine,person_alison_pill,Directed,portrayedBy
char_ramona_flowers,char_scott_pilgrim,Directed,lifePartnerOf
person_shota_saito,Q11500347,Directed,sameAs
media_movie,media_comic_series,Directed,isBasedOn
item_song_threshold,group_sex_bob_omb,Directed,performer
char_envy_adams,char_todd_ingram,Directed,lifePartnerOf
char_scott_pilgrim,char_wallace_wells,Directed,friendOf
item_song_threshold,item_soundtrack,Directed,isPartOf
char_envy_adams,group_clash_at_demonhead,Directed,memberOf
char_lucas_lee,universe_scott_pilgrim,Directed,isPartOf
person_jason_schwartzman,Person,Directed,type
person_satya_bhabha,Q7426855,Directed,sameAs
person_alison_pill,Person,Directed,type
char_todd_ingram,char_envy_adams,Directed,lifePartnerOf
char_ramona_flowers,Q6099320,Directed,sameAs
item_song_scott_pilgrim,MusicRecording,Directed,type
media_anime,Q117351362,Directed,identifier
char_neil_nordegraf,universe_scott_pilgrim,Directed,isPartOf
char_roxanne_richter,group_league_of_evil_exes,Directed,memberOf
char_matthew_patel,person_satya_bhabha,Directed,portrayedBy
item_movie_poster,media_movie,Directed,isPartOf
char_ramona_flowers,group_league_of_evil_exes,Directed,ambivalentOf
char_envy_adams,FictionalCharacter,Directed,type
char_knives_chau,Q5960245,Directed,sameAs
item_soundtrack,MusicAlbum,Directed,type
char_kim_pine,char_scott_pilgrim,Directed,ambivalentOf
char_matthew_patel,group_league_of_evil_exes,Directed,memberOf
group_league_of_evil_exes,Organization,Directed,type
group_sex_bob_omb,MusicGroup,Directed,type
group_amazon,Organization,Directed,type
char_scott_pilgrim,char_kim_pine,Directed,ambivalentOf
char_kyle_katayanagi,Kyle_Katayanagi,Directed,page
person_mary_winstead,Q207873,Directed,sameAs
person_mary_winstead,Person,Directed,type
char_wallace_wells,person_kieran_culkin,Directed,portrayedBy
item_song_scott_pilgrim,item_plumtree,Directed,isPartOf
