Id,Label
MusicGroup,MusicGroup
Wallace,Wallace
char_lucas_lee,char_lucas_lee
Q133862338,Q133862338
MusicRecording,MusicRecording
universe_scott_pilgrim,universe_scott_pilgrim
media_game,media_game
Todd_Ingram,Todd_Ingram
Q117351362,Q117351362
item_casa_loma,item_casa_loma
Q207873,Q207873
media_movie,media_movie
char_scott_pilgrim,char_scott_pilgrim
Q237781,Q237781
person_jason_schwartzman,person_jason_schwartzman
Envy_Adams,Envy_Adams
char_stephen_stills,char_stephen_stills
item_plumtree,item_plumtree
Q313204,Q313204
Q11500347,Q11500347
Roxie_Richter,Roxie_Richter
group_amazon,group_amazon
TVSeries,TVSeries
VideoGame,VideoGame
char_envy_adams,char_envy_adams
person_shota_saito,person_shota_saito
person_johnny_simmons,person_johnny_simmons
Scott-Pilgrim-vs-the-World.html,Scott-Pilgrim-vs-the-World.html
group_clash_at_demonhead,group_clash_at_demonhead
char_gideon_graves,char_gideon_graves
Q116636,Q116636
item_movie_poster,item_movie_poster
League_of_Evil_Exes,League_of_Evil_Exes
Stephen_Stills,Stephen_Stills
Ramona_Flowers,Ramona_Flowers
Movie,Movie
Q388843,Q388843
char_todd_ingram,char_todd_ingram
Matthew_Patel,Matthew_Patel
ComicSeries,ComicSeries
person_mary_winstead,person_mary_winstead
Q7437073,Q7437073
0b298492,0b298492
Q7205485,Q7205485
Q232307,Q232307
Q5960245,Q5960245
Q127699552,Q127699552
person_mae_whitman,person_mae_whitman
char_matthew_patel,char_matthew_patel
Q29328,Q29328
char_ramona_flowers,char_ramona_flowers
item_screenplay,item_screenplay
person_mark_webber,person_mark_webber
Q313705,Q313705
item_song_threshold,item_song_threshold
person_brandon_routh,person_brandon_routh
Scott_Pilgrim_vs._the_World_teaser.jpg,Scott_Pilgrim_vs._the_World_teaser.jpg
person_satya_bhabha,person_satya_bhabha
person_ellen_wong,person_ellen_wong
Organization,Organization
char_wallace_wells,char_wallace_wells
char_knives_chau,char_knives_chau
Q299324,Q299324
char_kyle_katayanagi,char_kyle_katayanagi
Q1199291,Q1199291
Q922217,Q922217
Q1046446,Q1046446
Kyle_Katayanagi,Kyle_Katayanagi
MusicAlbum,MusicAlbum
person_kieran_culkin,person_kieran_culkin
media_anime,media_anime
item_song_scott_pilgrim,item_song_scott_pilgrim
Q178348,Q178348
CreativeWork,CreativeWork
item_song_we_are_sex_bob_omb,item_song_we_are_sex_bob_omb
Q2080333,Q2080333
Q7426855,Q7426855
char_kim_pine,char_kim_pine
person_michael_cera,person_michael_cera
person_alison_pill,person_alison_pill
group_league_of_evil_exes,group_league_of_evil_exes
Q1378842,Q1378842
item_soundtrack,item_soundtrack
person_brie_larson,person_brie_larson
The_Clash_at_Demonhead,The_Clash_at_Demonhead
group_sex_bob_omb,group_sex_bob_omb
Knives_Chau,Knives_Chau
Sex_Bob-Omb,Sex_Bob-Omb
Ken_Katayanagi,Ken_Katayanagi
LandmarksOrHistoricalBuildings,LandmarksOrHistoricalBuildings
item_bass_guitar,item_bass_guitar
Q522023,Q522023
Q6099320,Q6099320
Person,Person
person_chris_evans,person_chris_evans
Kim_Pine,Kim_Pine
Instrument,Instrument
Q309555,Q309555
char_ken_katayanagi,char_ken_katayanagi
item_song_garbage_truck,item_song_garbage_truck
Q753899,Q753899
Gideon_Graves,Gideon_Graves
item_song_black_sheep,item_song_black_sheep
Q6122585,Q6122585
char_neil_nordegraf,char_neil_nordegraf
Neil,Neil
item_song_summertime,item_song_summertime
FictionalCharacter,FictionalCharacter
person_keita_saito,person_keita_saito
Q137067984,Q137067984
media_comic_series,media_comic_series
char_roxanne_richter,char_roxanne_richter
ImageObject,ImageObject
Scott_Pilgrim,Scott_Pilgrim
Lucas_Lee,Lucas_Lee
